Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	CD4Tconv	RPL37	0.37	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	CHD2	0.37	48.3	0
0	Immune cells	CD4Tconv	CD4Tconv	TRAC	0.37	38.1	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS15	0.37	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	ICAM2	0.37	32.7	0
0	Immune cells	CD4Tconv	CD4Tconv	HSPE1	0.37	88.1	0
0	Immune cells	CD4Tconv	CD4Tconv	USP15	0.37	47.5	0
0	Immune cells	CD4Tconv	CD4Tconv	AKNA	0.37	36.6	0
0	Immune cells	CD4Tconv	CD4Tconv	NR4A2	0.37	61.1	0
0	Immune cells	CD4Tconv	CD4Tconv	ARHGAP9	0.37	43.3	0
0	Immune cells	CD4Tconv	CD4Tconv	FBLN7	0.36	20.2	0
0	Immune cells	CD4Tconv	CD4Tconv	USP36	0.36	34.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS18	0.36	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL4	0.36	96.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS26	0.36	96.4	0
0	Immune cells	CD4Tconv	CD4Tconv	COTL1	0.36	81.4	0
0	Immune cells	CD4Tconv	CD4Tconv	P2RY8	0.36	21.2	0
0	Immune cells	CD4Tconv	CD4Tconv	DUSP16	0.36	28.7	0
0	Immune cells	CD4Tconv	CD4Tconv	RELB	0.36	60.9	0
0	Immune cells	CD4Tconv	CD4Tconv	IL21R	0.36	32.8	0
0	Immune cells	CD4Tconv	CD4Tconv	ARHGAP4	0.36	36.3	0
0	Immune cells	CD4Tconv	CD4Tconv	OCIAD2	0.36	56.3	0
0	Immune cells	CD4Tconv	CD4Tconv	S1PR1	0.36	22.7	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL38	0.36	93.1	0
0	Immune cells	CD4Tconv	CD4Tconv	KMT2E	0.36	73.2	0
0	Immune cells	CD4Tconv	CD4Tconv	LPXN	0.36	45.4	0
0	Immune cells	CD4Tconv	CD4Tconv	AES	0.36	51.6	0
0	Immune cells	CD4Tconv	CD4Tconv	TBC1D4	0.35	24.4	0
0	Immune cells	CD4Tconv	CD4Tconv	GCC2	0.35	44.4	0
0	Immune cells	CD4Tconv	CD4Tconv	CELF2	0.35	49.3	0
0	Immune cells	CD4Tconv	CD4Tconv	TNFRSF18	0.35	41.1	0
