X.Start	End	Type	Subtype	Weight
296	2309	10018	GEREL	EXPRESSION	1
297	2309	85417	GEREL	EXPRESSION	1
305	2309	11345	GEREL	EXPRESSION	1
306	2309	2309	PPREL	STATE_CHANGE	0
307	2309	2308	PPREL	STATE_CHANGE	0
316	2309	84676	PPREL	ACTIVATION	1
317	2309	4851	PPREL	INDIRECT_EFFECT	1
318	2309	4853	PPREL	INDIRECT_EFFECT	1
322	2309	891	GEREL	EXPRESSION	1
324	2309	894	GEREL	EXPRESSION	1
333	2309	23710	GEREL	EXPRESSION	1
340	2309	27113	PPREL	ACTIVATION	1
343	2309	10365	GEREL	EXPRESSION	1
344	2309	11337	GEREL	EXPRESSION	1
345	2309	1647	PPREL	ACTIVATION	1
346	2309	1647	GEREL	EXPRESSION	1
350	2309	1263	GEREL	EXPRESSION	1
352	2309	2592	GEREL	EXPRESSION	1
356	2309	1410	GEREL	EXPRESSION	1
359	2309	4800	PPREL	BINDING_ASSOCIATION	0
360	2309	4801	PPREL	BINDING_ASSOCIATION	0
364	2309	4802	PPREL	BINDING_ASSOCIATION	0
367	2309	1032	GEREL	EXPRESSION	1
368	2309	1030	GEREL	EXPRESSION	1
370	2309	1027	PPREL	ACTIVATION	1
371	2309	1027	GEREL	EXPRESSION	1
372	2309	1026	GEREL	EXPRESSION	1
373	2309	1387	PPREL	BINDING_ASSOCIATION	0
380	2309	847	PPREL	ACTIVATION	1
381	2309	847	GEREL	EXPRESSION	1
385	2309	23460	PPREL	ACTIVATION	1
386	2309	3575	GEREL	EXPRESSION	1
388	2309	857	PPREL	ACTIVATION	1
389	2309	23112	PPREL	ACTIVATION	1
395	2309	2810	PPREL	BINDING_ASSOCIATION	0
400	2309	2538	PPREL	ACTIVATION	1
401	2309	2538	GEREL	EXPRESSION	1
404	3635	2213	PPREL	BINDING_ASSOCIATION	0
409	3636	2213	PPREL	BINDING_ASSOCIATION	0
415	2308	10370	PPREL	ACTIVATION	1
417	2308	1263	GEREL	EXPRESSION	1
419	2308	3484	PPREL	ACTIVATION	1
420	2308	57060	PPREL	INDIRECT_EFFECT	1
426	2308	10018	PPREL	ACTIVATION	1
427	2308	10018	GEREL	EXPRESSION	1
428	2308	85417	GEREL	EXPRESSION	1
431	2308	126129	GEREL	EXPRESSION	1
432	2308	1375	GEREL	EXPRESSION	1
435	2308	2908	PPREL	BINDING_ASSOCIATION	0
441	2308	4800	PPREL	BINDING_ASSOCIATION	0
444	2308	11345	GEREL	EXPRESSION	1
445	2308	4801	PPREL	BINDING_ASSOCIATION	0
447	2308	2309	PPREL	STATE_CHANGE	0
448	2308	4802	PPREL	BINDING_ASSOCIATION	0
449	2308	2308	PPREL	STATE_CHANGE	0
455	2308	3651	PPREL	INHIBITION	-1
458	2308	1032	GEREL	EXPRESSION	1
460	2308	1030	GEREL	EXPRESSION	1
461	2308	1027	PPREL	ACTIVATION	1
462	2308	1027	GEREL	EXPRESSION	1
464	2308	1026	GEREL	EXPRESSION	1
466	2308	84676	PPREL	ACTIVATION	1
467	2308	1387	PPREL	BINDING_ASSOCIATION	0
471	2308	4852	PPREL	ACTIVATION	1
475	2308	847	PPREL	ACTIVATION	1
476	2308	847	GEREL	EXPRESSION	1
481	2308	891	GEREL	EXPRESSION	1
483	2308	2645	PPREL	INHIBITION	-1
484	2308	894	GEREL	EXPRESSION	1
485	2308	2203	GEREL	EXPRESSION	1
486	2308	23460	PPREL	ACTIVATION	1
487	2308	3575	GEREL	EXPRESSION	1
489	2308	857	PPREL	ACTIVATION	1
496	2308	1374	GEREL	EXPRESSION	1
497	2308	2660	PPREL	ACTIVATION	1
500	2308	23710	GEREL	EXPRESSION	1
505	2308	27113	PPREL	ACTIVATION	1
510	2308	10365	GEREL	EXPRESSION	1
511	2308	11337	GEREL	EXPRESSION	1
512	2308	1647	PPREL	ACTIVATION	1
513	2308	1647	GEREL	EXPRESSION	1
514	2308	2538	GEREL	EXPRESSION	1
515	2308	2538	PPREL	ACTIVATION	1
523	4967	1743	PPREL	BINDING_ASSOCIATION	0
531	4968	hsa-miR-125b-5p	MGREL	TFMIRNA_ACTIVATION	1
533	4968	hsa-miR-125b-2-3p	MGREL	TFMIRNA_ACTIVATION	1
536	3651	2645	PPREL	ACTIVATION	1
537	3651	3630	GEREL	EXPRESSION	1
538	3651	3630	PPREL	ACTIVATION	1
540	3651	2494	PPREL	ACTIVATION	1
541	3651	4825	PPREL	ACTIVATION	1
544	hsa-miR-519d-3p	1026	MGREL	MIRNA_INHIBITION	-1
546	hsa-miR-519d-3p	10000	MGREL	MIRNA_INHIBITION	-1
550	2317	3690	PPREL	BINDING_ASSOCIATION	0
551	2317	3691	PPREL	BINDING_ASSOCIATION	0
552	2317	3680	PPREL	BINDING_ASSOCIATION	0
553	2317	3693	PPREL	BINDING_ASSOCIATION	0
554	2317	3694	PPREL	BINDING_ASSOCIATION	0
555	2317	3672	PPREL	BINDING_ASSOCIATION	0
556	2317	3695	PPREL	BINDING_ASSOCIATION	0
557	2317	3673	PPREL	BINDING_ASSOCIATION	0
560	2317	3696	PPREL	BINDING_ASSOCIATION	0
561	2317	3674	PPREL	BINDING_ASSOCIATION	0
562	2317	3685	PPREL	BINDING_ASSOCIATION	0
564	2317	3675	PPREL	BINDING_ASSOCIATION	0
566	2317	3676	PPREL	BINDING_ASSOCIATION	0
567	2317	3688	PPREL	BINDING_ASSOCIATION	0
568	2317	3655	PPREL	BINDING_ASSOCIATION	0
570	2317	3678	PPREL	BINDING_ASSOCIATION	0
571	2317	3679	PPREL	BINDING_ASSOCIATION	0
572	2316	3680	PPREL	BINDING_ASSOCIATION	0
574	2316	3696	PPREL	BINDING_ASSOCIATION	0
575	2316	3674	PPREL	BINDING_ASSOCIATION	0
577	2316	3675	PPREL	BINDING_ASSOCIATION	0
578	2316	3676	PPREL	BINDING_ASSOCIATION	0
579	2316	3655	PPREL	BINDING_ASSOCIATION	0
580	2316	3678	PPREL	BINDING_ASSOCIATION	0
581	2316	3679	PPREL	BINDING_ASSOCIATION	0
583	2316	3690	PPREL	BINDING_ASSOCIATION	0
584	2316	3691	PPREL	BINDING_ASSOCIATION	0
585	2316	3693	PPREL	BINDING_ASSOCIATION	0
586	2316	3694	PPREL	BINDING_ASSOCIATION	0
587	2316	3672	PPREL	BINDING_ASSOCIATION	0
588	2316	3695	PPREL	BINDING_ASSOCIATION	0
589	2316	3673	PPREL	BINDING_ASSOCIATION	0
590	2316	2812	PPREL	BINDING_ASSOCIATION	0
591	2316	2811	PPREL	BINDING_ASSOCIATION	0
592	2316	3685	PPREL	BINDING_ASSOCIATION	0
594	2316	3688	PPREL	BINDING_ASSOCIATION	0
596	2316	2815	PPREL	BINDING_ASSOCIATION	0
597	2316	2814	PPREL	BINDING_ASSOCIATION	0
602	2313	1050	PPREL	INDIRECT_EFFECT	1
626	3643	2887	PPREL	BINDING_ASSOCIATION	0
627	3643	2885	PPREL	ACTIVATION	1
628	3643	1399	PPREL	ACTIVATION	1
629	3643	1398	PPREL	ACTIVATION	1
634	3643	11145	PPREL	ACTIVATION	1
637	3643	2549	PPREL	ACTIVATION	1
640	3643	25759	PPREL	ACTIVATION	1
651	3643	23236	PPREL	ACTIVATION	1
655	3643	867	PPREL	ACTIVATION	1
657	3643	868	PPREL	ACTIVATION	1
660	3643	3667	PPREL	ACTIVATION	0
661	3643	3667	PPREL	INHIBITION	0
676	3646	10480	PPREL	BINDING_ASSOCIATION	0
680	3646	26986	PPREL	BINDING_ASSOCIATION	0
698	2319	27289	PPREL	BINDING_ASSOCIATION	0
701	2319	10211	PPREL	BINDING_ASSOCIATION	0
703	4978	2822	PPREL	ACTIVATION	1
706	2318	3690	PPREL	BINDING_ASSOCIATION	0
707	2318	3691	PPREL	BINDING_ASSOCIATION	0
708	2318	3680	PPREL	BINDING_ASSOCIATION	0
709	2318	3693	PPREL	BINDING_ASSOCIATION	0
710	2318	3694	PPREL	BINDING_ASSOCIATION	0
711	2318	3672	PPREL	BINDING_ASSOCIATION	0
712	2318	3695	PPREL	BINDING_ASSOCIATION	0
713	2318	3673	PPREL	BINDING_ASSOCIATION	0
714	2318	3696	PPREL	BINDING_ASSOCIATION	0
715	2318	3674	PPREL	BINDING_ASSOCIATION	0
716	2318	3685	PPREL	BINDING_ASSOCIATION	0
718	2318	3675	PPREL	BINDING_ASSOCIATION	0
719	2318	3676	PPREL	BINDING_ASSOCIATION	0
720	2318	3688	PPREL	BINDING_ASSOCIATION	0
721	2318	3655	PPREL	BINDING_ASSOCIATION	0
723	2318	3678	PPREL	BINDING_ASSOCIATION	0
724	2318	3679	PPREL	BINDING_ASSOCIATION	0
726	hsa-miR-101-5p	3925	MGREL	MIRNA_INHIBITION	-1
727	hsa-miR-101-5p	57007	MGREL	MIRNA_INHIBITION	-1
731	hsa-miR-101-5p	2146	MGREL	MIRNA_INHIBITION	-1
732	hsa-miR-101-5p	2353	MGREL	MIRNA_INHIBITION	-1
738	4991	2788	PPREL	ACTIVATION	1
740	4991	2774	PPREL	ACTIVATION	1
741	4991	2782	PPREL	ACTIVATION	1
742	4991	51764	PPREL	ACTIVATION	1
744	3660	3442	PPREL	INHIBITION	-1
745	3660	3452	PPREL	INHIBITION	-1
746	3660	3441	PPREL	INHIBITION	-1
747	3660	3440	PPREL	INHIBITION	-1
748	3660	3451	PPREL	INHIBITION	-1
750	3660	3439	PPREL	INHIBITION	-1
751	3660	3449	PPREL	INHIBITION	-1
752	3660	3448	PPREL	INHIBITION	-1
753	3660	3447	PPREL	INHIBITION	-1
754	3660	3446	PPREL	INHIBITION	-1
755	3660	3456	PPREL	INHIBITION	-1
756	3660	3445	PPREL	INHIBITION	-1
757	3660	3444	PPREL	INHIBITION	-1
758	3660	3443	PPREL	INHIBITION	-1
763	3661	3442	PPREL	ACTIVATION	1
764	3661	3442	GEREL	EXPRESSION	1
765	3661	3441	PPREL	ACTIVATION	1
766	3661	3441	GEREL	EXPRESSION	1
769	3661	3440	PPREL	ACTIVATION	1
770	3661	3440	GEREL	EXPRESSION	1
773	3661	23643	PPREL	ACTIVATION	1
774	3661	3439	PPREL	ACTIVATION	1
775	3661	3439	GEREL	EXPRESSION	1
776	3661	2547	PPREL	ACTIVATION	1
778	3661	10010	PPREL	ACTIVATION	1
783	3661	84282	PPREL	ACTIVATION	1
788	3661	3452	PPREL	ACTIVATION	1
789	3661	3452	GEREL	EXPRESSION	1
790	3661	3451	PPREL	ACTIVATION	1
791	3661	3451	GEREL	EXPRESSION	1
792	3661	3449	PPREL	ACTIVATION	1
793	3661	3449	GEREL	EXPRESSION	1
794	3661	3448	PPREL	ACTIVATION	1
795	3661	3448	GEREL	EXPRESSION	1
798	3661	3447	PPREL	ACTIVATION	1
799	3661	3447	GEREL	EXPRESSION	1
800	3661	3446	PPREL	ACTIVATION	1
801	3661	3446	GEREL	EXPRESSION	1
802	3661	3445	PPREL	ACTIVATION	1
803	3661	3445	GEREL	EXPRESSION	1
804	3661	3444	PPREL	ACTIVATION	1
805	3661	3444	GEREL	EXPRESSION	1
806	3661	1387	PPREL	BINDING_ASSOCIATION	0
807	3661	3443	PPREL	ACTIVATION	1
808	3661	3443	GEREL	EXPRESSION	1
810	3661	11277	PPREL	INHIBITION	-1
819	3661	23586	PPREL	ACTIVATION	1
824	3661	3456	PPREL	ACTIVATION	1
825	3661	3456	GEREL	EXPRESSION	1
826	3661	23220	PPREL	INHIBITION	-1
839	3661	3428	PPREL	ACTIVATION	1
841	3661	3467	GEREL	EXPRESSION	1
844	3661	3665	PPREL	BINDING_ASSOCIATION	0
848	3661	3627	GEREL	EXPRESSION	1
852	4992	2788	PPREL	ACTIVATION	1
853	4992	2774	PPREL	ACTIVATION	1
854	4992	2782	PPREL	ACTIVATION	1
855	4992	51764	PPREL	ACTIVATION	1
860	4993	2788	PPREL	ACTIVATION	1
862	4993	2774	PPREL	ACTIVATION	1
863	4993	2782	PPREL	ACTIVATION	1
864	4993	51764	PPREL	ACTIVATION	1
870	2331	7043	PPREL	INHIBITION	-1
875	2331	7040	PPREL	INHIBITION	-1
876	2331	7042	PPREL	INHIBITION	-1
880	1000	1496	PPREL	BINDING_ASSOCIATION	0
881	1000	1000	PPREL	ACTIVATION	1
916	2324	25759	PPREL	ACTIVATION	1
923	2324	23236	PPREL	ACTIVATION	1
927	2324	2885	PPREL	ACTIVATION	1
928	2324	1399	PPREL	ACTIVATION	1
929	2324	1398	PPREL	ACTIVATION	1
935	2324	3667	PPREL	ACTIVATION	1
939	2323	27	PPREL	BINDING_ASSOCIATION	0
941	2323	4893	PPREL	ACTIVATION	1
945	2323	3480	PPREL	ACTIVATION	1
946	2323	4804	PPREL	ACTIVATION	1
947	2323	10019	PPREL	BINDING_ASSOCIATION	0
948	2323	1436	PPREL	ACTIVATION	1
949	2323	3815	PPREL	ACTIVATION	1
950	2323	2324	PPREL	ACTIVATION	1
951	2323	2322	PPREL	ACTIVATION	1
952	2323	2321	PPREL	ACTIVATION	1
953	2323	5159	PPREL	ACTIVATION	1
956	2323	3932	PPREL	BINDING_ASSOCIATION	0
959	2323	3791	PPREL	ACTIVATION	1
961	2323	2264	PPREL	ACTIVATION	1
963	2323	2263	PPREL	ACTIVATION	1
967	2323	2261	PPREL	ACTIVATION	1
968	2323	2260	PPREL	ACTIVATION	1
969	2323	4914	PPREL	ACTIVATION	1
970	2323	4915	PPREL	ACTIVATION	1
971	2323	1027	PPREL	ACTIVATION	1
975	2323	867	PPREL	ACTIVATION	1
977	2323	3643	PPREL	ACTIVATION	1
982	2323	3845	PPREL	ACTIVATION	1
985	2322	27	PPREL	BINDING_ASSOCIATION	0
986	2322	4893	PPREL	ACTIVATION	1
990	2322	10019	PPREL	BINDING_ASSOCIATION	0
991	2322	2885	PPREL	ACTIVATION	1
992	2322	2323	PPREL	INHIBITION	-1
996	2322	3932	PPREL	BINDING_ASSOCIATION	0
997	2322	25759	PPREL	ACTIVATION	1
1000	2322	1027	PPREL	ACTIVATION	1
1004	2322	867	PPREL	ACTIVATION	1
1010	2322	3667	PPREL	ACTIVATION	1
1011	2322	3845	PPREL	ACTIVATION	1
1012	2321	25759	PPREL	ACTIVATION	1
1019	2321	23236	PPREL	ACTIVATION	1
1023	2321	2885	PPREL	ACTIVATION	1
1024	2321	1399	PPREL	ACTIVATION	1
1025	2321	1398	PPREL	ACTIVATION	1
1032	2321	3667	PPREL	ACTIVATION	1
1042	4983	23433	PPREL	ACTIVATION	1
1047	4985	2771	PPREL	ACTIVATION	1
1048	4985	2793	PPREL	BINDING_ASSOCIATION	0
1049	4985	2770	PPREL	ACTIVATION	1
1050	4985	2792	PPREL	BINDING_ASSOCIATION	0
1051	4985	2791	PPREL	BINDING_ASSOCIATION	0
1052	4985	2790	PPREL	BINDING_ASSOCIATION	0
1054	4985	2788	PPREL	BINDING_ASSOCIATION	0
1055	4985	2787	PPREL	BINDING_ASSOCIATION	0
1056	4985	2786	PPREL	BINDING_ASSOCIATION	0
1057	4985	2785	PPREL	BINDING_ASSOCIATION	0
1058	4985	59345	PPREL	BINDING_ASSOCIATION	0
1059	4985	2784	PPREL	BINDING_ASSOCIATION	0
1060	4985	2783	PPREL	BINDING_ASSOCIATION	0
1061	4985	51764	PPREL	BINDING_ASSOCIATION	0
1062	4985	5173	PPREL	BINDING_ASSOCIATION	0
1065	4985	5179	PPREL	BINDING_ASSOCIATION	0
1066	4985	2782	PPREL	BINDING_ASSOCIATION	0
1069	4985	2773	PPREL	ACTIVATION	1
1075	3654	23643	PPREL	BINDING_ASSOCIATION	0
1077	3654	4804	PPREL	BINDING_ASSOCIATION	0
1079	3654	3554	PPREL	BINDING_ASSOCIATION	0
1080	3654	3553	PPREL	BINDING_ASSOCIATION	0
1082	3654	10454	PPREL	ACTIVATION	1
1083	3654	10333	PPREL	BINDING_ASSOCIATION	0
1094	3654	1147	PPREL	ACTIVATION	1
1098	3654	4790	PPREL	ACTIVATION	1
1102	3654	4792	PPREL	ACTIVATION	1
1108	3654	3552	PPREL	BINDING_ASSOCIATION	0
1109	3654	3551	PPREL	ACTIVATION	1
1112	3654	23118	PPREL	ACTIVATION	1
1118	3654	3665	PPREL	ACTIVATION	1
1120	3654	11213	PPREL	INHIBITION	-1
